action,reward,area,config_id,time,seed,state,frame,steps,actions,experiment.step_duration,experiment.update_freq,environment.zone,environment,algorithm,filepath,compatibility_mode
[0.    0.324 0.324 0.    1.    0.606],-0.05774530055584133,"[131.6875  53.0625  92.75   146.4375 104.25   216.8125 213.125  235.1875
 127.8125 132.5    150.4375 222.625  126.     111.4375 122.875  122.5
 112.125  102.1875  93.375  117.125  119.     132.     103.375  165.5
 151.875  140.875  204.5625 178.9375 180.6875 143.     148.4375 156.3125
 119.5    133.     111.625  151.1875]",8700768564448361811,1744430609.057416,0,[1.74443058e+09],10,11,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.05973346797878429,"[121.6875  61.5     96.6875 198.25   114.3125 253.75   216.375  223.5625
 123.4375 142.9375 132.0625 186.     118.0625 109.125  118.4375 148.5625
 111.4375 101.25   104.0625  91.5    111.125  176.0625 110.25   177.75
 172.     150.625  191.6875 205.1875 190.875  178.1875 166.75   177.6875
 145.75   148.5625 116.625  139.5   ]",8700768564448361811,1744431211.4307258,0,[1.74443118e+09],11,12,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.08606635634039757,"[124.9375  62.375   83.625  136.625  107.125  240.625  176.3125 230.625
 162.5625 138.375  157.4375 138.5625 129.0625 112.5625 106.4375 128.9375
 106.25    83.5     84.25    97.9375  90.5625 160.25   114.875  162.
 146.125  158.0625 173.8125 190.     168.1875 129.375  144.375  150.9375
 115.4375 135.625  107.75   140.8125]",8700768564448361811,1744431808.929129,0,[1.74443178e+09],12,13,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.06697304987551328,"[129.9375  51.0625  70.1875 127.6875 103.8125 192.1875 155.6875 221.
 109.4375 124.625  123.3125 152.9375 113.25   105.375  103.     128.125
  83.5     67.5     85.5625  88.5625  95.5    143.125  113.6875 175.8125
 168.3125 111.9375 164.75   189.25   152.3125 122.625  133.3125 132.8125
 116.8125 118.875  136.375  140.5625]",8700768564448361811,1744432408.763311,0,[1.74443238e+09],13,14,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.1573141076045571,"[120.6875  59.375   71.4375 171.0625 117.875  227.6875 188.5625 193.0625
 116.9375 146.4375 133.8125 170.6875 109.75   106.8125 114.0625 143.25
 131.5625  92.625  111.0625  99.6875  99.125  208.1875 121.4375 176.625
 196.5625 152.4375 210.625  208.5625 201.125  169.875  160.625  172.75
 160.25   151.625  117.625  144.0625]",8700768564448361811,1744433011.0090373,0,[1.74443298e+09],14,15,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.0429262342715919,"[129.3125  57.875   79.6875 148.25   111.5    212.125  190.5625 221.0625
 126.     152.4375 131.8125 141.     124.4375 116.4375 111.25   144.5
 104.0625  87.75    92.625  110.75   113.9375 173.875  145.1875 167.5
 170.9375 140.9375 189.375  190.875  179.9375 145.8125 170.625  165.3125
 132.875  126.6875 117.6875 135.5625]",8700768564448361811,1744433609.6393495,0,[1.74443358e+09],15,16,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.034887233954490754,"[134.25    67.5     85.75   139.125  120.125  200.25   198.625  225.25
 125.625  137.75   118.0625 152.125  103.9375 112.875  109.3125 132.125
 107.8125  71.875   88.9375 119.     122.5    163.5    122.375  170.3125
 168.5625 101.25   197.9375 193.4375 180.375  139.1875 138.6875 155.625
 125.75   137.1875 122.1875 140.25  ]",8700768564448361811,1744434209.2973378,0,[1.74443418e+09],16,17,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.0098017949414607,"[100.4375  64.75    73.125  156.5    106.125  202.0625 196.75   212.625
 109.6875 129.625  134.     156.1875 113.0625 103.75   107.9375 140.
 107.5625  54.75   108.25    95.25   118.875  142.     120.75   183.5
 172.1875 126.5    223.625  189.9375 160.     138.125  153.3125 153.5625
 122.9375 140.5    111.5    149.5   ]",8700768564448361811,1744434808.7662911,0,[1.74443478e+09],17,18,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.05633626580512688,"[125.0625  67.1875  94.125  168.5     92.5    193.0625 192.375  211.625
 150.5625 169.0625 131.3125 163.1875 136.1875 113.0625 117.25   148.875
 135.875   94.3125  88.3125 106.875   97.875  148.625   88.1875 187.3125
 166.4375 114.1875 189.875  188.9375 185.9375 148.625  168.6875 181.25
 127.0625 146.125  111.8125 146.9375]",8700768564448361811,1744435410.3141258,0,[1.74443538e+09],18,19,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.0057708132861095645,"[137.1875  63.9375  86.1875 154.4375 119.     179.125  181.1875 226.5625
 123.5    151.375  176.3125 177.0625 136.5625 112.9375 116.125  132.625
 135.6875 105.5    104.1875 104.375  105.125  170.25   102.     167.1875
 178.625  135.3125 182.9375 189.125  190.6875 144.4375 160.5    165.75
 136.9375 134.6875 104.5    150.75  ]",8700768564448361811,1744436011.1542706,0,[1.74443598e+09],19,20,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.04321053005443208,"[135.9375  66.6875  94.4375 138.     108.9375 254.125  200.9375 229.375
 133.25   128.5625 147.5    256.6875 108.     101.4375 120.625  131.625
 100.9375  94.5625 116.8125  97.75   119.75   151.375   98.9375 172.5625
 165.4375 130.875  210.5625 183.1875 167.875  141.5    144.3125 139.6875
 125.9375 148.1875 123.125  142.6875]",8700768564448361811,1744436610.0230017,0,[1.74443658e+09],20,21,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.0016476907154607642,"[128.      45.1875  72.125  142.25   106.     222.75   186.75   244.875
 139.1875 107.9375 161.0625 192.3125 111.625  102.875  109.8125 134.3125
 142.625   98.375   87.0625  80.1875 116.     115.8125 109.4375 179.75
 159.5625 142.0625 192.375  203.5625 172.75   156.4375 146.9375 161.1875
 125.1875 137.375  104.4375 144.25  ]",8700768564448361811,1744437208.764672,0,[1.74443718e+09],21,22,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0.00730821568095644,"[117.      61.      86.6875 156.1875 120.125  191.125  190.625  220.3125
 117.875  141.8125  99.625  157.4375 121.0625 103.75   120.4375 147.3125
  97.4375  83.6875 103.5625 108.125  113.     131.0625 114.8125 185.6875
 173.75   145.875  203.25   184.625  204.9375 161.125  161.1875 158.875
 127.9375 139.125  116.6875 143.75  ]",8700768564448361811,1744437809.595724,0,[1.74443778e+09],22,23,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.11265990681597408,"[117.3125  77.1875  90.875  146.875   81.8125 170.375  159.9375 202.0625
  90.3125 113.9375 107.5    103.1875  97.375  122.5    100.9375  99.875
 108.5     65.9375 111.625  124.125  176.125   89.5    100.4375 158.25
 161.5625  85.0625 184.5    162.625  142.625  116.375  144.125  161.3125
 136.5625 128.125  103.25   150.875 ]",8700768564448361811,1744438416.6586573,0,[1.74443838e+09],23,24,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.023512584828701777,"[111.4375  60.0625  85.9375 150.875   91.6875 174.1875 177.625  197.75
  88.8125 107.9375  94.5625 117.125   94.4375 119.9375 103.     100.75
  97.3125  60.5    111.625  134.0625  75.0625  88.1875 115.0625 157.4375
 149.      91.6875 188.     166.3125 149.125  119.5    142.25   154.375
 124.6875 125.0625 123.75   140.3125]",8700768564448361811,1744439014.9261258,0,[1.74443898e+09],24,25,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0.12974547265893818,"[148.     111.3125 106.875  174.6875 103.625  188.4375 261.6875 217.4375
  94.5    130.5    110.5625 142.3125 112.125  116.4375 109.375  105.125
 143.5625  89.8125 105.875  142.125  302.5    107.     103.625  198.375
 153.125  100.875  208.1875 167.625  134.1875 144.625  141.6875 197.4375
 139.0625 175.     106.4375 155.875 ]",8700768564448361811,1744439610.454863,0,[1.74443958e+09],25,26,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.02576282087457923,"[139.0625 117.     101.1875 174.75    96.8125 209.1875 178.6875 221.625
  99.4375 121.3125 110.125  147.     114.9375 117.875  110.1875 104.625
 127.      85.0625 116.625  136.375  127.0625 117.5625 115.     171.75
 153.0625  86.875  230.75   158.     149.5625 136.4375 145.125  172.9375
 151.0625 141.8125 110.5    152.375 ]",8700768564448361811,1744440214.9893174,0,[1.74444018e+09],26,27,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.07339782039040446,"[104.4375  70.75    93.875  165.3125  83.1875 178.3125 162.875  211.75
  93.875  123.5     99.75   114.     102.3125 122.5    107.25   108.5
 109.25    68.5625 126.1875 134.125   80.5    119.875  118.625  150.3125
 147.0625 104.375  187.625  170.5625 149.3125 113.5625 156.875  142.5625
 124.0625 126.1875 111.6875 143.25  ]",8700768564448361811,1744440814.7651365,0,[1.74444078e+09],27,28,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0.14567373655082974,"[147.3125 109.8125 114.4375 185.125   86.75   242.625  376.25   213.8125
  97.5625 132.125  100.4375 152.     121.8125 126.8125 110.125  112.625
 136.6875  89.375  113.25   151.125  289.9375 120.4375 110.9375 196.8125
 152.25    97.     210.75   176.25   137.1875 159.75   144.625  203.125
 161.75   152.0625 121.125  160.8125]",8700768564448361811,1744441411.947913,0,[1.74444138e+09],28,29,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.14681918154066054,"[120.4375  79.25   105.     159.125   93.6875 202.9375 152.5625 212.5625
  96.6875 157.625   97.75    97.375  100.3125 126.125  104.4375  94.1875
 118.0625  66.875  119.875  125.0625  96.625   98.625   98.25   161.6875
 149.3125  94.125  181.3125 171.5    149.25   132.8125 145.4375 152.1875
 124.1875 132.125  111.5625 144.8125]",8700768564448361811,1744442016.4030042,0,[1.74444198e+09],29,30,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.008189098825619525,"[112.5     70.5     92.125  161.875   94.625  178.6875 169.8125 202.375
  92.4375 126.0625 131.0625 105.5    107.75   125.8125 105.875   99.1875
  95.1875  64.0625 119.5    108.1875  85.75    88.0625 116.125  153.
 151.75   102.125  173.3125 174.5625 147.3125 126.875  160.5    145.5625
 119.     117.875  116.1875 139.375 ]",8700768564448361811,1744442616.172296,0,[1.74444258e+09],30,31,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0.022168985581440894,"[140.25    85.125   95.5625 163.125   85.5    198.4375 155.25   193.
  92.1875 118.25   112.6875 107.375  107.3125 123.875  106.375   95.25
 123.4375  68.     116.125  123.375   91.25   110.6875  97.1875 159.3125
 148.375  101.25   184.1875 173.75   136.5625 135.125  156.75   178.9375
 128.1875 139.5    105.     148.25  ]",8700768564448361811,1744443213.6805344,0,[1.74444318e+09],31,32,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0.03198732255907298,"[128.6875  88.75    92.125  152.625   78.     173.4375 286.25   209.8125
 106.1875 141.      93.5    102.5625 112.3125 124.8125 104.75   108.625
 129.375   65.     113.4375 145.5    136.125  110.625  106.8125 158.5625
 149.625   91.875  201.1875 162.     151.25   130.375  141.3125 164.25
 143.375  162.3125 104.5625 158.125 ]",8700768564448361811,1744443811.3528888,0,[1.74444378e+09],32,33,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.04324919684403205,"[110.9375  62.6875 100.125  154.6875  89.4375 166.1875 181.6875 215.875
 106.8125 124.75    93.625  106.1875 101.3125 127.625  110.9375 103.9375
 107.1875  58.5625 121.3125 116.5625  85.6875 105.1875 105.1875 158.5
 162.      98.8125 169.5625 171.8125 161.6875 125.75   144.9375 151.25
 122.0625 127.625  123.0625 142.6875]",8700768564448361811,1744444414.4566824,0,[1.74444438e+09],33,34,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0.014668575105834336,"[124.625   61.75    96.8125 148.75    84.6875 219.75   157.     210.9375
 106.125  122.4375 106.3125 109.625  113.5625 125.9375 104.625  103.1875
 125.      63.8125 119.4375 127.375   85.5625  99.5625 111.5    166.0625
 159.9375  85.9375 183.6875 179.375  151.     126.4375 145.8125 186.8125
 126.9375 133.8125 115.75   139.4375]",8700768564448361811,1744445018.6885505,0,[1.74444498e+09],34,35,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.03424728693571594,"[127.4375  73.1875  82.5625 172.3125  83.8125 160.375  174.25   213.125
  94.125  137.8125 102.3125 101.75    90.75   121.0625 105.6875 100.5625
  98.5     73.6875 120.0625 118.0625  88.     103.125  111.1875 153.5625
 164.0625  91.25   170.8125 171.75   141.1875 120.5    151.1875 139.8125
 122.8125 126.375  117.1875 133.875 ]",8700768564448361811,1744445615.3163629,0,[1.74444558e+09],35,36,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0.13286845479094445,"[148.25   119.125  117.375  181.1875 108.9375 230.4375 365.75   222.8125
 111.1875 163.9375 114.1875 152.25   109.3125 123.3125 106.     104.125
 141.25    89.3125 113.5625 141.     127.8125 115.4375 106.375  169.875
 159.75    96.375  207.875  175.875  147.     134.0625 151.875  193.125
 139.75   164.4375 112.6875 156.3125]",8700768564448361811,1744446212.0404928,0,[1.74444618e+09],36,37,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.06359002489418178,"[115.375   68.5625  98.8125 161.125   83.4375 179.9375 183.375  223.125
 108.8125 112.625  108.3125  99.125   97.625  132.4375 109.5625 107.3125
 101.5    376.4375 131.5    121.      91.      98.8125 116.75   171.6875
 156.875  108.5    179.125  182.9375 149.25   134.25   159.1875 161.4375
 137.5    121.6875 124.     152.4375]",8700768564448361811,1744446814.541399,0,[1.74444678e+09],37,38,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.046975967646134376,"[106.25    61.8125  90.     155.      88.0625 197.0625 172.3125 217.25
  89.9375 125.5     91.5    118.75    91.5    126.125  110.3125 105.9375
 111.25    55.5625 120.125  126.4375  87.375   98.125  129.125  165.5
 167.     103.3125 173.9375 169.6875 145.     123.875  150.4375 146.5625
 112.75   130.125  121.625  159.25  ]",8700768564448361811,1744447414.3501227,0,[1.74444738e+09],38,39,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0.02900599697365225,"[124.25    85.3125  98.4375 186.3125  99.125  192.5    174.6875 218.625
  95.6875 141.25   102.5625  99.5625 105.0625 125.125  111.0625 102.8125
 103.0625  73.6875 118.9375 136.1875  94.5625 101.9375 122.125  173.75
 157.9375 104.75   180.0625 180.375  136.4375 128.125  155.25   162.75
 130.625  143.3125 110.0625 144.5   ]",8700768564448361811,1744448019.1447735,0,[1.74444798e+09],39,40,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.002089102345307172,"[109.125   63.0625 101.0625 152.4375  93.75   197.75   172.75   208.875
 102.4375 121.4375 131.8125 115.1875 103.25   125.25   110.625   97.5
 121.4375  52.75   125.1875 127.5625  88.5625  91.8125 137.6875 169.3125
 175.4375  94.     187.1875 176.25   150.4375 127.1875 158.25   162.0625
 127.3125 115.9375 118.875  138.9375]",8700768564448361811,1744448615.2551959,0,[1.74444858e+09],40,41,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0.028246366932865592,"[ 109.0625   59.5625   96.      181.625    92.3125  191.25    183.5625
  210.0625  104.75    129.8125  103.4375  132.125    89.9375  124.625
  111.4375  105.0625  109.875  1138.75    121.8125  137.375    92.375
  110.75    129.1875  163.0625  169.0625   87.3125  194.0625  187.375
  147.3125  125.375   154.6875  144.8125  123.125   121.75    128.0625
  141.5   ]",8700768564448361811,1744449214.7358873,0,[1.74444918e+09],41,42,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.0210064295412951,"[143.0625  92.5    106.25   179.0625  88.75   194.6875 215.8125 209.75
 105.25   131.5    106.5625  94.25   100.9375 119.25   110.125   98.8125
 122.1875  73.375  116.     123.625   98.3125 107.3125 100.4375 188.3125
 170.125  100.125  182.8125 169.4375 132.8125 129.0625 147.5625 168.25
 132.5625 149.     116.4375 145.4375]",8700768564448361811,1744449815.0015297,0,[1.74444978e+09],42,43,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.012237702426376574,"[110.625   63.875   90.5    162.375   90.375  179.6875 196.3125 218.1875
 114.4375 127.4375 110.25   103.9375 104.4375 136.0625 113.     107.625
  97.6875  59.875  122.3125 128.5625  94.5625 114.75   120.6875 142.6875
 174.8125  95.1875 171.8125 169.25   146.6875 131.8125 161.625  147.75
 116.375  129.3125 112.3125 180.875 ]",8700768564448361811,1744450412.071432,0,[1.74445038e+09],43,44,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.007030643818250747,"[112.5625  58.375   95.375  158.6875  87.375  184.1875 179.875  216.0625
 103.5625 121.6875  97.9375 108.25   103.875  131.3125 111.3125 100.3125
 107.4375  54.6875 123.0625 131.      93.75   108.25   121.4375 163.5
 165.4375  94.8125 170.8125 191.125  143.3125 133.8125 162.125  143.1875
 142.1875 117.3125 120.1875 150.625 ]",8700768564448361811,1744451014.7193444,0,[1.74445098e+09],44,45,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0.039134974430771276,"[124.5     80.0625 101.5625 171.9375  98.75   210.625  183.375  205.8125
 100.625  118.3125  94.125  141.875  104.1875 123.75   111.75   114.625
 114.4375  68.375  125.9375 132.0625  97.      98.875  117.25   185.75
 159.3125  93.0625 174.9375 183.6875 157.6875 134.875  156.5625 174.8125
 138.125  147.8125 114.375  145.5   ]",8700768564448361811,1744451619.2161193,0,[1.74445158e+09],45,46,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0.008562686753523476,"[147.125   99.25   107.6875 170.0625  93.125  205.125  198.125  213.8125
 100.875  129.9375 104.875  111.625  107.4375 125.     111.1875 105.3125
 118.5     68.8125 120.9375 133.3125 117.625  113.5    108.75   178.25
 153.5625 108.4375 187.125  176.375  153.1875 128.875  148.625  211.0625
 127.75   161.9375 111.1875 148.3125]",8700768564448361811,1744452211.8570447,0,[1.74445218e+09],46,47,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0.0007564905434947301,"[141.25    75.8125 107.6875 159.875   83.625  212.625  164.9375 199.375
 101.8125 135.625  102.75    97.3125 104.25   122.6875 108.9375 107.5625
 139.3125  72.5625 134.0625 154.     112.5    108.0625 111.3125 175.375
 149.0625 107.5625 212.0625 172.8125 151.8125 140.     146.1875 183.0625
 133.0625 149.8125 121.125  155.875 ]",8700768564448361811,1744452812.5633912,0,[1.74445278e+09],47,48,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.0017322804137398914,"[120.25    72.6875 114.75   173.125   96.5    179.125  176.875  213.
 109.125  128.5625 103.625  107.3125  88.8125 124.625  111.875   98.75
 112.3125 303.25   126.6875 141.75    94.5625 108.5625 119.75   165.5625
 174.1875  87.4375 166.9375 178.5625 153.     129.375  161.9375 151.9375
 125.5    122.8125 127.375  159.8125]",8700768564448361811,1744453413.3844683,0,[1.74445338e+09],48,49,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.657496 1.258824 0.535248 0.       0.548464 1.001112],-0.024934168231537688,"[118.5     65.75   104.375  148.75    91.3125 197.625  183.5625 217.9375
 100.6875 135.4375 114.3125 105.0625 101.     140.875  113.     109.75
 119.3125  56.9375 123.1875 129.875   85.625   96.5    113.3125 179.875
 167.875  106.75   180.4375 172.3125 149.5    133.1875 157.625  144.625
 127.6875 110.625  127.9375 169.5   ]",8700768564448361811,1744454012.7953515,0,[1.74445398e+09],49,50,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
